epoch,accuracy,loss,val_accuracy,val_loss,time
1,0.2620137333869934,1.611271858215332,0.3116438388824463,1.5972765684127808,272.97067427635193
2,0.3016781210899353,1.5527527332305908,0.2705479562282562,1.5935240983963013,313.93020725250244
3,0.3039664328098297,1.545617699623108,0.27397260069847107,1.5917508602142334,269.5365424156189
4,0.31693363189697266,1.5306475162506104,0.27397260069847107,1.610453486442566,254.40723252296448
5,0.316170871257782,1.5362175703048706,0.27397260069847107,1.5922092199325562,275.8142066001892
6,0.3207475244998932,1.526769995689392,0.27397260069847107,1.5871450901031494,255.82306265830994
7,0.32837527990341187,1.5191482305526733,0.2773972749710083,1.5805977582931519,263.65612149238586
8,0.33257055282592773,1.51665198802948,0.29794520139694214,1.575546145439148,254.05236959457397
9,0.331045001745224,1.5183987617492676,0.30821916460990906,1.552309274673462,252.64320635795593
10,0.32608696818351746,1.514518141746521,0.3321917951107025,1.5463837385177612,265.0359892845154
11,0.3299008309841156,1.5142691135406494,0.34246575832366943,1.5268855094909668,254.82100868225098
12,0.3333333432674408,1.511988878250122,0.35273972153663635,1.501850962638855,250.018794298172
13,0.33180779218673706,1.5074023008346558,0.3561643958091736,1.4932721853256226,266.2316982746124
14,0.3287566602230072,1.513986587524414,0.3493150770664215,1.4913771152496338,258.51733469963074
15,0.3333333432674408,1.50948166847229,0.3561643958091736,1.485706090927124,249.39833998680115
16,0.33714720606803894,1.5049833059310913,0.3390410840511322,1.4858554601669312,266.55288887023926
17,0.32951945066452026,1.502415657043457,0.35273972153663635,1.469704508781433,259.8660123348236
18,0.33485889434814453,1.50649094581604,0.35273972153663635,1.4940154552459717,264.1722061634064
19,0.337909996509552,1.5053035020828247,0.3390410840511322,1.4866647720336914,251.87248587608337
20,0.34057971835136414,1.4990837574005127,0.36301368474960327,1.4644972085952759,261.0489423274994
