feature,importance
Эксцесс,0.09227154863372407
Асимметрия,0.0893299925406133
LF/HF,0.0878301436134327
Минимум,0.08779829770237833
RMSSD,0.08725689119768923
Максимум,0.08720640565047925
Размах,0.08661062600915151
Доминирующая частота,0.08555557896189565
SDNN,0.08525812341597895
Средний RR,0.08346010002178486
pNN50,0.07341930685360452
Кол-во пиков,0.05400298539926783
Стд откл,0.0
Энергия,0.0
